Track Name,Artist Name(s),Track Duration (ms),Explicit,Popularity
Lil Boo Thang,Paul Russell,114233,FALSE,86
Dial Drunk (with Post Malone),"Noah Kahan, Post Malone",213817,TRUE,85
Lose Control,Teddy Swims,210688,FALSE,83
"Sex, Drugs, Etc.",Beach Weather,196784,FALSE,82
Hell N Back,Bakar,213573,TRUE,80
Brazil,Declan McKenna,252306,FALSE,79
Homesick,Noah Kahan,194416,TRUE,78
Jericho,Iniko,158133,FALSE,78
Goodie Bag,Still Woozy,146390,TRUE,78
Kilby Girl,The Backseat Lovers,282205,FALSE,77
What You Know,Two Door Cinema Club,191706,FALSE,76
False Confidence,Noah Kahan,223400,TRUE,75
Wait,M83,343253,FALSE,74
Light My Love,Greta Van Fleet,270887,FALSE,71
Overcome,Nothing But Thieves,214723,FALSE,69
Ms. Poli Sci,"Paul Russell, Khary",128703,TRUE,68
Sleepyhead,Passion Pit,174760,FALSE,67
Sometimes,Gerry Cinnamon,196600,TRUE,67
Living In A Haze,Milky Chance,173369,FALSE,65
Rocketship,Llunr,156194,FALSE,64
Dearly Departed (feat. Esmé Patterson),Shakey Graves,212800,FALSE,64
Superposition,Young the Giant,230959,FALSE,64
I Follow Rivers,Lykke Li,228466,FALSE,64
Good Kisser,Lake Street Dive,218493,FALSE,62
Hypotheticals,Lake Street Dive,230178,FALSE,62
Then It All Goes Away,Dayglow,183440,FALSE,60
Romeo,"Jungle, Bas",166200,TRUE,60
Suit and Jacket,Judah & the Lion,222256,FALSE,59
I Need Never Get Old,Nathaniel Rateliff & The Night Sweats,253733,FALSE,59
Constellations,The Oh Hellos,227910,FALSE,59
Apollo,St. Paul & The Broken Bones,283879,FALSE,58
The Walk Home,Young the Giant,196643,FALSE,56
Radio,Paolo Nutini,262871,FALSE,56
Sunshine Baby,The Japanese House,219813,FALSE,54
Foreign Things,Amber Mark,180185,TRUE,54
Black Leaves,KIRBY,104280,FALSE,51
Nexus (Is It Over),Austin and the Powers,292953,FALSE,50
Iron Sky,Paolo Nutini,373133,FALSE,49
Pages,White Reaper,154098,FALSE,49
STEREO DRIVER,Q,231533,FALSE,48
Dream in Blue,The Stray Birds,212026,FALSE,47
My Way,Young the Giant,214807,FALSE,46
Growing Up,The Linda Lindas,186465,FALSE,46
Magic,Jordan Mackampa,193913,FALSE,45
Red Lights (feat. Hello O'shay),"Kota the Friend, Hello O'shay",192545,TRUE,45
Firelight,Young the Giant,333986,FALSE,44
Once In My Life,The Decemberists,309053,FALSE,40
Nothing's Over,Young the Giant,264146,FALSE,37
Scream (Funk My Life Up),Paolo Nutini,189566,FALSE,35
Night Moves,Lissie,188619,FALSE,23
Stay For A While,Victor Ray,189560,FALSE,23
Howling At Nothing,Nathaniel Rateliff & The Night Sweats,189853,FALSE,0
Strawberry Blond,Mitski,114277,FALSE,0
