"userid","artistid","weight","tagid"
34,1,212,NULL
274,1,483,1219
785,1,76,2850
135,2,1021,NULL
257,2,152,NULL
325,2,3466,575
325,2,3466,179
325,2,3466,30
397,2,56,NULL
560,2,134,NULL
580,2,803,NULL
935,2,428,575
935,2,428,179
1551,2,868,NULL
1601,2,385,575
1604,2,455,575
1679,2,161,190
1679,2,161,179
1679,2,161,30
1679,2,161,575
2066,2,83,NULL
548,3,37,4117
548,3,37,4
548,3,37,2092
548,3,37,3706
548,3,37,4122
1287,3,330,NULL
2100,3,408,NULL
510,4,1,NULL
681,4,562,141
681,4,562,139
557,5,260,190
557,5,260,179
557,5,260,575
1551,5,653,NULL
26,6,550,NULL
208,6,46,NULL
241,6,1295,NULL
337,6,336,NULL
496,6,95,NULL
548,6,221,190
548,6,221,793
548,6,221,233
548,6,221,127
548,6,221,7
548,6,221,82
548,6,221,713
548,6,221,524
548,6,221,285
895,6,358,NULL
1287,6,205,NULL
1619,6,1570,NULL
2100,6,404,NULL
23,7,212,NULL
59,7,1410,804
59,7,1410,191
59,7,1410,810
59,7,1410,232
59,7,1410,793
59,7,1410,797
59,7,1410,238
59,7,1410,737
59,7,1410,370
85,7,185,NULL
124,7,102,1
124,7,102,79
127,7,419,NULL
139,7,385,NULL
142,7,53,NULL
162,7,215,NULL
172,7,249,NULL
179,7,270,NULL
189,7,553,NULL
191,7,32,1983
191,7,32,1984
191,7,32,1985
206,7,70,NULL
213,7,429,NULL
229,7,1,73
232,7,1491,NULL
238,7,1234,NULL
249,7,230,1
249,7,230,61
249,7,230,79
269,7,18,NULL
274,7,216,NULL
280,7,81,NULL
306,7,88,NULL
321,7,35,2755
321,7,35,1984
332,7,265,NULL
346,7,586,NULL
372,7,95,6
372,7,95,1
372,7,95,73
395,7,142,61
397,7,128,NULL
402,7,1697,NULL
433,7,192,216
433,7,192,1
433,7,192,6
433,7,192,61
433,7,192,73
433,7,192,189
474,7,1150,NULL
484,7,626,NULL
490,7,233,NULL
499,7,11,3883
499,7,11,3890
499,7,11,3882
504,7,128,NULL
516,7,13270,NULL
526,7,16,NULL
534,7,932,NULL
545,7,312,850
545,7,312,190
545,7,312,1
558,7,43,NULL
560,7,213,NULL
575,7,232,NULL
581,7,938,NULL
585,7,277,NULL
592,7,2900,NULL
622,7,245,NULL
652,7,387,NULL
657,7,212,NULL
666,7,265,NULL
681,7,440,NULL
685,7,1643,2
685,7,1643,189
706,7,1244,2604
706,7,1244,6
728,7,712,2371
737,7,329,73
737,7,329,1
737,7,329,79
741,7,397,NULL
751,7,163,NULL
758,7,556,NULL
763,7,178,NULL
764,7,172,NULL
777,7,492,NULL
778,7,1168,NULL
788,7,106,NULL
794,7,99,NULL
806,7,999,NULL
818,7,399,NULL
844,7,738,NULL
853,7,164,NULL
891,7,379,NULL
893,7,129,NULL
895,7,441,61
895,7,441,6
904,7,45,1
904,7,45,72
927,7,391,73
927,7,391,61
979,7,638,72
991,7,321,NULL
1011,7,449,NULL
1012,7,149,NULL
1024,7,157,NULL
1034,7,113,NULL
1041,7,51,NULL
1068,7,103,NULL
1133,7,232,NULL
1157,7,308,NULL
1171,7,59,NULL
1236,7,15239,NULL
1273,7,109,NULL
1293,7,116,NULL
1309,7,557,NULL
1323,7,258,NULL
1336,7,461,NULL
1343,7,13,NULL
1349,7,149,73
1349,7,149,1
1349,7,149,61
1368,7,198,NULL
1372,7,350,NULL
1376,7,31,NULL
1462,7,2064,234
1462,7,2064,850
1462,7,2064,73
1462,7,2064,524
1462,7,2064,623
1508,7,533,NULL
1522,7,42,61
1522,7,42,73
1551,7,1025,NULL
1553,7,155,61
1553,7,155,1
1553,7,155,73
1576,7,367,NULL
1607,7,250,NULL
1614,7,2468,NULL
1619,7,1312,NULL
1649,7,1582,NULL
1710,7,273,61
1712,7,264,NULL
1730,7,432,79
1730,7,432,61
1730,7,432,6
1730,7,432,1
1730,7,432,73
1749,7,947,NULL
1759,7,587,10875
1759,7,587,216
1759,7,587,1
1759,7,587,1984
1759,7,587,10876
1759,7,587,370
1768,7,2753,NULL
1829,7,1132,NULL
1842,7,101,NULL
1856,7,707,NULL
1858,7,124,NULL
1862,7,257,NULL
1865,7,792,61
1865,7,792,1
1865,7,792,79
1865,7,792,73
1865,7,792,6
1866,7,226,NULL
1869,7,157,NULL
1899,7,2481,NULL
1909,7,309,NULL
1923,7,758,NULL
1952,7,128,NULL
1968,7,264,NULL
1999,7,410,NULL
2004,7,219,NULL
2008,7,709,NULL
2010,7,884,NULL
2020,7,107,NULL
2031,7,3835,NULL
2046,7,1752,6
2053,7,248,NULL
2059,7,230,NULL
2070,7,399,NULL
9,8,587,138
9,8,587,141
9,8,587,139
9,8,587,73
101,8,1513,1
101,8,1513,1219
101,8,1513,541
101,8,1513,141
101,8,1513,139
274,8,175,1219
512,8,948,NULL
681,8,245,141
681,8,245,139
807,8,151,NULL
844,8,189,NULL
1161,8,513,NULL
1730,8,1581,NULL
1984,8,4206,139
1987,8,138,NULL
1999,8,545,NULL
135,9,488,NULL
211,9,102,NULL
257,9,261,NULL
313,9,761,NULL
397,9,78,NULL
403,9,106,NULL
438,9,4,NULL
444,9,49,NULL
496,9,161,NULL
506,9,239,NULL
560,9,866,NULL
686,9,1954,NULL
908,9,137,61
926,9,194,1447
926,9,194,9
935,9,108,61
935,9,108,2794
1089,9,114,NULL
1103,9,33,61
1273,9,275,61
1500,9,142,NULL
1551,9,663,NULL
1774,9,111,NULL
1827,9,662,NULL
2046,9,1941,12
2055,9,172,NULL
257,10,101,NULL
277,10,532,NULL
313,10,267,NULL
325,10,722,10
325,10,722,86
325,10,722,565
325,10,722,61
438,10,16,NULL
506,10,120,NULL
914,10,1332,565
